"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Azerbaijan","AZE","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26177","26708","27793","30555","31624","34201","35514","36413","36810","37469","40523","41328","41651","42533","42243","43026","44106","43971","44232","43610","43242","41221","41012","41012","40830","37516","39293","41164","40946","40160","40270","39926","39519","",
"Burundi","BDI","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","4955","4980","3954","4022","4159","4199","4245","4385","4445","4623","4805","5252","5500","5760","6322","6866","7256","7534","8244","9049","9465","9582","10400","","","9475","","11597","12107","12731","14955","16651","17931","18899","21289","24452","28671","","33867","36557","40288","42052","44662","46887","47949","42497","42854","51051","51545","51921","","","","",
"Belgium","BEL","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","51692","","","50312","","48625","48038","46484","46227","44212","46430","45130","","40894","43958","44190","","","","","","","59830","60738","","","","","","","","","","","64278","","","65574","65668","66317","65783","66441","68576","68826","69681","70530","72269","73029","73859","75367","","79534","","",
"Benin","BEN","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","3753","3929","4184","4450","4708","4864","5786","6326","6048","6547","7994","10381","11339","12163","13269","13452","13867","14067","13821","13693","13556","13422","13184","12924","13586","13889","15705","16043","16335","17710","19710","21766","19836","25583","28148","31103","","35938","38321","38540","42293","45010","47201","46454","49688","54463","51677","56738","53341","57002","58524","59742","","",
"Burkina Faso","BFA","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","2370","2376","2492","2775","2813","2997","3124","3204","3263","3490","3700","3744","4153","4796","5550","6091","5780","6359","7729","8572","8903","9165","9412","10300","12754","14037","","16724","16660","17435","19007","20676","22664","23402","26938","30341","32760","35617","38983","39077","41857","48592","53505","58294","64177","69148","74747","80713","82083","87304","92911","88222","83736","",
"Bangladesh","BGD","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","113673","117275","136508","155742","150267","164717","172448","174384","186144","187504","153859","149909","","171349","189884","189900","190557","191507","191399","186872","189508","","","","","","","","","","","","","","","344806","344914","364494","365925","361450","395281","458389","","","","527798","548201","574001","576887","354722","367480","359095","362709","384513","",
"Bulgaria","BGR","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25503","25860","24716","22983","23344","21161","20789","19439","18762","17873","17378","16790","16346","15075","14885","14608","14489","14388","14596","","14876","17393","19225","20668","22340","22885","23200","","",
"Bahrain","BHR","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","","1900","1723","1916","2044","2010","2235","2345","2479","2577","2543","2736","2910","2892","2856","2906","2887","2882","3059","3092","3085","3312","3386","3536","","","","","","","","","","","","","","","","7679","8117","8413","8896","9219","9303","9332","9551","9460","9112","","8683","8963","",
"Bahamas, The","BHS","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","707","751","","","1187","1294","1417","","","1218","1261","1151","1555","1565","1561","1767","","","","","","","","1581","1485","","","","2406","","","2029","","2150","","2335","2420","2333","2683","2402","1996","1634","1803","1743","1555","1611","1555","1517","1482","","1722","","2145","",
"Bosnia and Herzegovina","BIH","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9505","9573","9475","9346","9389","9416","9415","9443","9457","9353","9722","",
