"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Europe & Central Asia","ECS","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","2899540","2890231.25","2901797.75","2891144.5","2881034.75","2872000","2860585.25","2862283.25","2858843.5","2855976","2860082","2861117.5","2865261","2868489.25","2882356","2913444.5","2939695.25","2958770.25","2996400.75","3025230.75","3066588","3119598.75","3165180.25","3246245","3310526.75","3274780","3337230.25","3333606.25","3337565.75","3315996.75","3314699","3318795.75","3300113.75","3251806","3309687","3281214.5","3254749.75","3287909.25","3286334.75","3279576","3297846","3323373","3303254.5","3261076.5","3286228","3364689","3436360","3467328.75","3539024.5","3529187.25","3449891.5","3481191","3487267.25","3492754.75","",
"Ecuador","ECU","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","26609","27471","28380","29569","31054","32279","34999","36783","37665","39830","42415","45459","45225","50347","52733","53683","55568","58326","62451","60608","61039","63845","63347","63500","67446","70162","74601","76770","80176","82809","84758","81021","83736","86012","87247","89115","90366","","90523","96170","97178","94616","88770","84740","79581","77749.203125","78815.90625","79640.9296875","79990.265625","76296.5859375","76140.4609375","77838.109375","79601.6953125","",
"Egypt, Arab Rep.","EGY","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","99918","","","","","118251","126397","124263","127021","137045","","141375","165308","170904","","194929","211092","235586","373572","261613","279315","273055","288891","288939","291400","302916","356499","","345981","345828","352911","349182","354902","362679","373104","376698","368785","","382488","380111","","","","","","509764","511478","533935","530666","525396","526106","441263","426940","",
"Euro area","EMU","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","1132583.25","1148971.625","1180674.625","1174929.25","1189137.875","1192214.625","1186088.125","1191978.125","1189480.875","1183599","1175249.25","1159485.375","1144241.375","1126606.375","1117171.625","1124580.5","1147585.125","1145541.75","1151767","1147796.625","1153555.375","1173332.875","1168078.25","1186096.625","1225696.875","1196440.375","1232969.875","1236790.25","1233332.125","1241252.875","1272022","1277155.125","1288650.375","1285003.875","1286557.125","1314540.125","1328758.625","1361470.5","1371821.625","1379271.5","1398200.5","1414910.625","1395224.875","1379967.625","1361518.875","1374301.75","1402962.5","1413594.625","1429032.875","1446646","1458914","1478460.875","1484249.875","1490335","",
"Eritrea","ERI","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3163","3035","2895","3647","4954","5272","5583","5828","5476","","5576","6229","6668","7498","7691","8033","7942","7711","6933","7311","7802","7535","7704","8166","8680","8515","8346","8524","8842","9028","9375","","","12025","","",
"Spain","ESP","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","115607","142987","","","","","","","","","127679","129083","133586","135715","","137807","133830","131389","","126132","128034","125828","129130","128559","132566","","","170184","171514","174638","175135","177797","179324","179271","180710","184147","199256","211320","212648","219409","223644","223517","220323","226066","228299","233065","231683","233424","235723","234884","247980","244256","","",
"Estonia","EST","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6580","","","","","8086","8616","8315","","","","","7516","5927","6141","6183","6223","6200","6431","6578","","","7351","7453","7662","7982.23486328125","8184.64013671875","8371.1396484375","8322.9638671875","","",
"Ethiopia","ETH","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","13514","15196","17200","18646","20851","24469","26152","28816","29079","30687","33322","37854","42347","46622","48178","50922","56684","58400","65993","65450","68370","68399","69743","75736","83113","89189","92775","109487","","86833","","","","","","","","214811","234215","252232","259636","321894","","244788.733333","396302","","461064","","","537596","516403","353124","358079","",
"European Union","EUU","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","1741368.625","1740287.875","1754117.75","1736634.75","1742890.25","1745118.125","1733542","1743453.25","1741970.5","1730165.375","1717945","1705445.125","1708197.75","1709005.125","1715718.625","1733416.125","1759587","1761245.25","1764209.375","1760870.5","1763632","1782844.625","1780270.25","1816288","1850814.875","1804429.75","1839323.875","1846190.375","1841488.375","1833649.875","1856346","1849337.125","1831556.75","1800837.375","1794989.375","1815034.25","1819279.875","1844863.125","1856555.125","1861322.75","1877282.25","1873261.375","1850770.5","1837031.125","1818845.125","1844957.5","1886296.125","1901432.625","1976935.375","1966222.75","1860137.75","1875950.375","1880637.875","1888413.625","",
"Fragile and conflict affected situations","FCS","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","757750.1875","788104.1875","820076.1875","846104.6875","866182.8125","882488.625","926063.0625","992683","1102151.5","1173479.5","1231356.375","1312477.25","1356474","1425564.25","1457915.25","1456296.75","1447563.25","1458237.875","1502974.75","1558771","1566573.75","1650100.875","1697178.375","1790220.125","1829381.375","1855199.75","1871151.25","1895891","1960599","1987799.75","2040368.625","2137838","2219729","2367309.5","2477859","2604450.5","2700081.25","2707176.25","2811389.75","2966147.25","3116084.75","3357026","3374592","3711314","3887169","4003945.5","4162704.5","4298489","4463802.5","4427535.5","4441023.5","4622225","4705169.5","4832087","",
"Finland","FIN","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","17360","17427","19273","21248","23235","24494","27414","25096","25142","24834","25949","26664","24752","25139","","","","","","","","","","","","23294","21459","21639","22163","23255","24669","25260","24024","24313","24577","24793","24272","24830","25728","24736","25281","25609","26402","26385","","26996","26633","27152","27433","28460","27793","28606","","",
"Fiji","FJI","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","4150","","","","","","","","","","","4644","","4921","4992","5021","5011","5054","","4079","4125","4107","4028","4029","","","","3939","","","3296","3671","","","","","","","6211","","6247","6322","6601","",
"France","FRA","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","","","","207386","204311","203056","","230634","232405","","220631","","193353","191847","199445","198800","202348","198922","","","","219182","218019","216962","216938","211192","195850","208607","207216","204727","204287","203418","202954","216411","217017","216654","217428","221717","234098","238141","233262","229471","","","","","","","","","","","",
"Faroe Islands","FRO","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","1267","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","38","46","37","642","595","600","606","864","811","","",
"Gabon","GAB","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","2211","2414","2225","2339","2412","2664","2746","2866","3088","3466","3441","3526","3781","3802","3837","4008","4083","4229","4289","","","4782","","","4709","4943","4605","","5107","","5399","6612","7764","","","","","","","","12961","","","","","","","","10060","","","","","",
"United Kingdom","GBR","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","248908","259757","271074","278609","282793","285786","280315","275564","275020","270346","","250510","245000","243000","244000","","213000","215000","225000","228000","229100","230200","","","","","","","249384","248148","261362","264111","262390","258966","265257","249862","255690","244391","245879","252290","255994","247079","250692.984375","272430","","313648.9375","318533.15625","279097.09375","280504.6875","281265.78125","285964.65625","282367.25","","",
"Georgia","GEO","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","16944","","","","","17992","","","","","20473","20281","18400","18275","18022","17950","16542","16841","17365","17714","17732","18406","16500","","","","","35860","33511","","","","31595","31428","32001","33020","33398","33998","34555","32616","32677","32737","32059","",
"Ghana","GHA","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","","","33752","35334","38381","41407","45119","48397","48146","47921","50685","51109","51691","56100","64795","65748","66147","65826","62859","66946","72451","67760","69232","71863","67021","71340","","80323","75799","75087","80552","81459","82833","89278","88461","105257","112443","110508","121304","124359","123153","129599","136578","138928","142520","160939","161538","168546","185715","172817","","","",
"Gibraltar","GIB","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","169","129","145","150","158","150","161","147","149","157","168","","177","183","","","","","","","","","","","","172","","92","105","115","","","","","","","193","203","","","","","","","204","200","","205","228","226","","197","",
"Guinea","GIN","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","4381","4424","4478","4524","4599","4977","5028","5626","6608","6843","7165","7723","7902","7867","7947","7605","7493","7239","7849","8113","8699","7374","8577","9718","11658","11875","13234","13883","15512","17340","19244","21125","23859","25361","26897","28296","29049","30933","31810","34451","34861","36731","37687","37938","35940","37680","39914","40816","42135","43914","45766","","","",
"Gambia, The","GMB","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","624","613","677","815","864","948","940","1094","1241","1377","1932","","2503","2586","2748","2979","2590","","2604","2504","2757","2876","3193","3158","3370","4118","4391","4312","4610","4664","4701","4806","4985","5313","5616","5392","6219","6429","","6110","6074","7206","7084","6152","7902","11654","8528","9694","10101","10780","12116","","","",
"Guinea-Bissau","GNB","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","616","630","","","","2163","","","2878","3102","3257","3315","3363","3303","3085","","3121","3065","","","","","","","","","","","","3405","","","","","","4327","","","","5371","","","","","","","","","","","","","","",
"Equatorial Guinea","GNQ","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","","","630","","","","","","770","647","664","","","","","","","","","","","1352","1381","","","","","1322","1691","1810","","2307","","","","","2900","3403","3131","3111","3517","","","4021","4378","4491","4631","5222","","","","","",
"Greece","GRC","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","29336","29330","28212","29773","30458","30953","32629","34664","35735","36246","37315","37947","37310","36825","37942","37994","37947","39125","40370","42485","43599","42991","42045","43789","44168","45128","46785","47662","47684","48104","50012","51606","54599","58395","58777","61251","62114","","","","","69227","66735","66551","66755","69716","69214","70598","74311","75601","76829","74702","","",
"Grenada","GRD","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","800","884","816","764","","","633","610","608","587","776","760","764","775","756","","821","806","","763","","799","831","856","860","869","878","859","872","796","765","","888","895","791","","871","615","830","851","903","","875","902","791","854","832","807","","725","747","678","","",
"Greenland","GRL","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","14058","14637","15324","16163","17232","18129","19045","19707","20683","21811","23770","23900","24456","25862","26963","27809","29313","31441","","","","36757","37677","44220","50756","43731","43403","45010","47475","47816","58641","65708","68901","","73835","75519","77701","80418","84980","95194","98763","100600","100081","105618","105188","98210","108113","116396","116577","116490","109432","114476","116781","103418","",
"Guam","GUM","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","713","730","848","","810","919","916","","890","900","905","900","890","870","","840","840","835","775","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","4485","","","4077","","4052","4335","4460","4215","4003","3909","3493","3489","3257","3284","","","","","","3509","3657","3669","3453","3417","3345","3461","","4022","4153","4202","","4174","","4164","","4173","4204","3942","4031","4012","4079","3650","3667","3727","3801","3885","3979","4060","4627","5427","","5370","",
"High income","HIC","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","4857041","4847105.5","4855708.5","4859598","4820617.5","4787936.5","4741868.5","4725744.5","4715726.5","4695776","4834088.5","4813946.5","4845891.5","4826327.5","4819747","4826888.5","4855043.5","4863662","4911004","4970140","5023926","5068295.5","5103320.5","5160296","5253493","5271423","5323944","5352485","5331561.5","5365822.5","5443063.5","5476376.5","5482237.5","5500339.5","5615571.5","5629731","5642484.5","5706519","5755218.5","5735446","5763526.5","5783905","5757359","5779646","5812477.5","5884864","5987259.5","6039797.5","6073054.5","6024214","5952045","6039001","6075690","6160095","",
"Hong Kong SAR, China","HKG","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","22383","22953","22538","22093","21641","20666","19695","19073","18321","18045","17937","17864","19388","19431","19621","19404","19361","19625","19813","","19518","19346","18790","19122","","19710","","21351","22123","23107","23611","24663","24657","25200","24591","24207","24468","23565","23278","22984","22596","22599","22916","23407","24339","24931","25599","27400","28522","29312","29450","29177","28700","",
"Honduras","HND","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","10816","10957","11354","11712","12302","13045","13649","14279","14479","14502","16385","15724","17930","18966","19155","","20732","","","","25539","23872","26736","26561","28888","28978","31337","31838","32519","34069","32144","","","","38212","42260","46308","","38283","37370","","","","","","39599","40362","43908","","44007","52050","44392","41528","","",
"Heavily indebted poor countries (HIPC)","HPC","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","442027.90625","455148.96875","468740.625","493324.46875","512506.5","540291.8125","579136.5625","616636.625","665478.5","708758.25","737249.8125","767401.125","792825.5","830202.125","863172.5625","886398.4375","932690.375","944849.5625","963918.6875","979785.375","972973.5","1010361.125","1038981.75","1067206.375","1080673.125","1130540.125","1162204","1212422","1255322.75","1310534.875","1335921.125","1408036.625","1515039.375","1602718","1728579.25","1845611.875","1992437","2108245","2258401.25","2344712","2479806.75","2556635.5","2726921.25","2840782.75","2981030.75","3093164.5","3240150.5","3368591","3525731.75","3553234.5","3624709.75","3709755.5","3781068","3857455.25","",
"Croatia","HRV","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10605","10762","10365","10568","10605","10707","10770","10832","","11198","11415","11423","11373","11782","11746","11726","11696","11688","11741","11849","12033","","12444","12546","12632","13085","13299","","",
"Haiti","HTI","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","7833","7472","8074","10265","11320","11816","12953","12554","12751","13472","14581","14927","16986","18483","20311","23200","21102","","","","","25605","32285","34310","36460","38743","41160","44472","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Hungary","HUN","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52584","44585","","41813","46872","47260","46777","46475","46497","48393","42643","41230","40580","39706","37844","37108","36675","36716","36719","37054","34955","36029","36632","","","37681","37552","37490","37868","","",
"IBRD only","IBD","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","9015818","9255284","9835701","10259669","10646276","11045022","11417701","11599213","11622169","11817839","12262609","12636119","13023825","13361701","13616309","13794948","14055211","14222238","14530227","15026931","15181471","15310776","15439402","15671906","15874569","16057145","16211253","16387573","16454734","16548547","16645996","16777104","16682548","17128194","17640496","17687574","17770880","18047798","18089706","18290946","18517700","18673918","18899720","19600952","19633210","19862374","20241878","19911832","19853122","20440836","20726256","20963220","21006932","21235310","",
"IDA & IBRD total","IBT","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","10145935","10432290","11081488","11561057","12002729","12463922","12903731","13178411","13364382","13684437","14170025","14642231","15124568","15583758","15915669","16112148","16397838","16575849","16947966","17520840","17695382","17944210","18188096","18543472","18812970","19077502","19328734","19616036","19795498","19967620","20132294","20379334","20399338","21063734","21733082","21926154","22116480","22473712","22671798","23073228","23532548","24009470","24300426","25423046","25709552","26095946","26733472","26643966","26819068","27382190","27716022","28125610","28259980","28594206","",
"IDA total","IDA","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","1130117.125","1177006.5","1245786.625","1301388.375","1356452.875","1418899.875","1486030.125","1579198.375","1742213.625","1866597.25","1907415.625","2006111.75","2100743.5","2222056.25","2299359.5","2317199.5","2342627","2353611","2417740.25","2493909","2513912","2633433.75","2748694.75","2871566.25","2938400.25","3020357","3117480","3228462","3340764.25","3419074","3486297.75","3602230.5","3716790.25","3935541","4092586.75","4238579.5","4345600","4425913","4582092","4782284","5014847","5335553","5400704.5","5822094","6076341","6233571","6491593","6732133","6965944.5","6941354.5","6989765.5","7162389.5","7253047.5","","",
"IDA blend","IDB","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","346879.15625","368059.1875","400067.59375","414845.1875","457206.25","475544.09375","488133.71875","529813","608049.75","673646.1875","705253.75","770825.4375","824377.375","876204","877684.6875","858921.75","819741.375","819504.875","846280.375","898991.5625","896840.625","944346.1875","1006676.8125","1079421.875","1111238","1123912","1153596.375","1191653.625","1234643.25","1239562.75","1279744.75","1312128","1312918.125","1442661.625","1454147","1477056.5","1430810.75","1373594.875","1368152","1456379.625","1509054.75","1659382.875","1526336.875","1837348.5","1883940","1889215.875","1931774.25","1998338.875","2073325.125","2007174.875","1977788.25","2075346.625","2097144.125","","",
"Indonesia","IDN","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","514007","534800","548424","556652","573061","603327","618818","549519","592439","","","787400","855876","971893","1056447","1131271","1181807","1223387","1251900","1278889","1286286","1281407","1261089","1276217","1296103","1311571","1317976","1327178","1341753","1334213","1288965","1289720","1383914","1431486","1447984","1427974","1525400","1583589","1425828","1511977","1595955","1615479","1655764","1870834","1801909","","2106887","1827213","1727377","1771614","1445912","1506717","1446837","1464336","",
"IDA only","IDX","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","783238","808947.3125","845719.0625","886543.125","899246.6875","943355.8125","997896.4375","1049385.375","1134163.875","1192951","1202161.875","1235286.375","1276366.125","1345852.25","1421674.875","1458277.75","1522885.5","1534106","1571459.875","1594917.5","1617071.375","1689087.5","1742017.875","1792144.25","1827162.375","1896444.875","1963883.5","2036808.5","2106120.75","2179511.25","2206553","2290102.5","2403872","2492879.25","2638439.75","2761523.25","2914789.25","3052318.25","3213940.25","3325904.25","3505792.25","3676170","3874367.5","3984745.5","4192401","4344355","4559819","4733794","4892619.5","4934179.5","5011977.5","5087043","5155903.5","5236006","",
"Isle of Man","IMN","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","1376176","1413221","1467031","1484589","1546696","1559137","","","1599182","","","","","","","","","","","","","","","","","","","","2774647","2840314","2835044","2832912","3038204","","","","","","","","3918312","","4367637","4404451","4398590","","4373417","","4339390","4600165","4648082","4656045","4824726","",
"Not classified","INX","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","","","","13397","13060","13076","13242","13803","14233","14636","14829","15117","15484","15521","15674","15852","15880","15393","15513","15614","15775","16212","16212","16339","16311","16202","18002","21148","","21865","22979","23972","24792","25416","26833","29852","30697","31549","32043","32848","32267","","","","","","","","","39152","40865","","",
"Iran, Islamic Rep.","IRN","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","105295","103130","97071","120017","135021","152106","167457","154577","","","","192719","280649","297298","307718","309736","258062","264398","276438","","298759","312273","311839","311531","305380","291886","290877","298103","326990","316939","314654","308105","297711","294098","285460","274922","267516","268430","277991","","","","306282","287096","286477","293043","286476","","","","","","","",
"Iraq","IRQ","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","49822","54302","54979","58455","57621","69812","70663","78060","87148","92603","94000","98422","107479","112428","115642","118442","123310","119280","130777","","134081","120063","131271","","","145455","","","141479","170141","","","220366","211136","","","286890","","","","","","","","","","","","","","","","","",
"Iceland","ISL","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","1383","1431","1466","1466","1379","1380","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3034","2960","3001","2991","2999","","","3171","3282","3377","3446","3526","","",
"Israel","ISR","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","","","","29195","32657","34579","35838","37210","39401","41468","42068","42395","42536","42900","41943","41199","37623","38798","37627","40571","43248","47299","48010","","","","","50090","49863","50982","51769","53222","54119","55458","55164","57666","59062","60155","61830","65705","","70045.15625","71134.9921875","73103.7265625","74272.9375","","77428","78939.8671875","81752.9765625","83068","84803","","",
"Italy","ITA","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","224646","229991","236691","245628","250523","255267","271307","271747","269279","275199","273744","279082","276716","281311","276553","273800","267065","263101","258535","257961","265553","255429","251621","279604","256756","251827","","258929","253736","258827","262675","263421","256650","260769","264061","264378","273113","","","","","","237735","237214","237483","254572","252806","252933","251885","251650","248937","250409","","",
"Jamaica","JAM","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","8053","9471","","","9417","","9889","","8453","8783","8676","","10699","10358","10051","9648","9467","9888","10251","10076","","","","","","","","","","","","","10968","12032","","","","","","","12380","12409","12842","12055","11806","11180","11172","10036","11347","11292","10421","11125","12548","",
"Jordan","JOR","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","7150","7798","8518","9418","10418","11136","11661","12757","13374","13934","14303","14891","14873","15179","15799","16979","18448","19133","20265","","23340","","","","27922","","","29232","","","","38204","39441","","","","","","","","","","","57946","","57162","52598","61174","70057","65410","60951","58341","63027","",
"Japan","JPN","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","364906","381608","388445","395062","406347","402553","411379","419958","432222","462343","470991","477101","478349","476991","471724","464173","457767","452220","449347","454109","452849","453379","440769","461729","464431","430958","425714","371066","366550","","","","","","","","","","","","","","406511","408247","410355","414683","417071","422724","431048","436232","440700","438666","","",
"Kazakhstan","KAZ","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","44700","","","50500","56274","60942","64089","66734","65805","67203","63869","59348","58095","","","63569","61294","60509","60203","59293","58014","57340","57473","57962","58957","60252","62285","64124","66578","73827","68663","65356","71641","84896","90047","94887","105750","112623","",
"Kenya","KEN","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","169410","148469","146205","149501","142392","152828","149893","144744","146879","159407","157843","165002","","","142345","","260197","266511","","","","","","","","","",
"Kyrgyz Republic","KGZ","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","11000","","","","","17900","","","","","16514","","","","","24086","","","19234","19284","18783","18860","18376","18341","17729","17781","16824","16524","16332","16089","15691","16959","17072","17175","17226","18770","20110","21154","21484","21919","23012","23249","25366","",
"Cambodia","KHM","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","20046","","20374","","","","","","","","30316","31884","34859","35479","35878","35080","36754","37292","36930","36533","40820","","","37616","37827","","43205","43282","44542","44852","45914","48476","49293","50186","50654","51212","48736","48223","46658","46905","45408","45296","44840","44895","44292","44884","46149","46157","51578","51486","44875","45148","44905","",
"Kiribati","KIR","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","531","371","","449","418","435","429","429","435","447","450","453","471","460","467","455","459","507","514","533","545","537","542","624","732","727","720","581","460","664","660","596","633","654","606","639","645","","639","628","644","649","614","628","656","655","","","721","710","739","742","",
"St. Kitts and Nevis","KNA","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","331","","","","357","339","353","266","263","331","346","363","350","","378","368","","","320","","356","355","386","368","367","360","","372","401","443","443","459","385","385","401","362","393","","","412","","428","","","",
"Korea, Rep.","KOR","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","101095","103756","105672","107259","107436","108126","109530","112997","115245","117290","119064","122727","124572","126163","126233","126785","126677","130142","132527","134898","136800","138207","138945","139096","138369","137912","122743","124412","122449","125477","128018","132716","139057","142153","144338","147728","149945","152891","155554","158056","164820","165536","165615","165786","164415","164354","164663","165837","166710","166424","167074","169496","","",
"Kuwait","KWT","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","3555","4084","4580","5053","5729","6360","7269","7920","7947","7722","8035","8385","8346","8968","9448","9623","9690","10099","10288","10310","7034","6967","7526","8229","9021","9747","10180","10798","10389","10176","10489","10940","11594","12321","16815","20056","22016","22895","24605","25520","25983","26775","27801","28610","29810","30635","31081","31524","33015","34105","32782","","","",
"Latin America & Caribbean (excluding high income)","LAC","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","1187793.75","1244424.875","1279807","1325648.25","1373081.875","1398936.25","1419514.625","1478535.125","1532610.875","1624784.5","1664533.125","1700090.625","1767776.375","1798516.625","1877638.25","1905464.5","1945042.25","1987931.25","2063802.375","2074884.25","2156094.5","2129747.25","2193353.75","2249801.25","2320475.25","2366777.25","2438536.5","2484723","2468483.75","2459878.75","2506053.25","2596017.75","2642593.75","2661826.75","2645127.75","2662464.25","2636697.5","2583589.5","2608374","2616074.75","2631600.25","2647303","2674297.75","2715793.25","2716910.75","2714647.25","2712233.25","2724025.75","2730474","2726639","2705977","2698157","2752782.5","2740500.25","",
"Lao PDR","LAO","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","6796","7038","7340","","","11848","13898","14218","14416","14983","16109","16130","16454","17789","18070","21033","","20384","","19970","21039","21036","21652","22649","23455","24455","25831","26382","27083","27592","27665","28545","28571","28150","28299","28741","29604","29541","31176","31782","33576","32586","34311","34619","35206","36069","36204","35199","35891","34743","33892","32864","26032","",
"Lebanon","LBN","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","22646","22810","","","","","","","","","","","","","","","","","29034","28393","27464","27586","27163","32972","32646","33117","33202","32875","33302","32649","32112","31816","39149","39017","","39967","40256","","40600","40911","36960","35937","36172","",
"Liberia","LBR","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6586","10055","12966","","","","","","17460","","22237","22120","","25137","","15688","25812","22479","30434","28468","","","29288","31447","37210","","",
"Libya","LBY","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","12304","14421","17767","20580","22842","24331","28627","26182","30946","32168","36591","","42696","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Lucia","LCA","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","888","829","892","919","953","947","953","999","942","957","1012","985","1084","1107","1084","1103","1066","1082","1137","1127","1181","1204","1174","1142","1180","1214","1175","1168","1091","1052","1091","1103","1050","1073","1022","969","978","1011","1051","1071","1054","1065","1216","1088","1087","1054","1077","1081","1077","1090","1081","1058","",
"Latin America & Caribbean","LCN","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","1347489.5","1411430.375","1453242.25","1502113.75","1552033.375","1580087.625","1604619.875","1669706.375","1728599","1822675.5","1872587.125","1914639.125","1984210.125","2019326.125","2094543.75","2126710","2174685","2221115.25","2299231","2314975.5","2401352.25","2382498","2451940.75","2511969","2581966","2630899","2704340.25","2751737.25","2740967.25","2739006.75","2790741.75","2886677.5","2937988","2954958","2956058","2977860","2955486","2914928.25","2938855.5","2954719.25","2968391.25","2988091.25","3017657.5","3071555.75","3076553","3075538","3073488.5","3083323.25","3099055.75","3103826","3092544.75","3091704","3157732.75","3206985.75","",
